Column,Coverage
CRC.SW.U0319.T,31988364
CRC.SW.U0320.T,24476306
CRC.SW.U0321.T,25347761
CRC.SW.U0322.T,23077293
CRC.SW.U0323.T,33804316
CRC.SW.U0324.T,27532114
CRC.SW.U0325.T,32850727
CRC.SW.U0326.T,22814967
CRC.SW.U0327.T,34564131
CRC.SW.U0328.T,33576210
CRC.SW.U0329.N,27697979
CRC.SW.U0329.T,24725506
CRC.SW.U0330.T,27859357
CRC.SW.U0331.T,28213994
CRC.SW.U0332.T,22446156
CRC.SW.U0333.T,24378145
CRC.SW.U0334.T,30169581
CRC.SW.U0335.T,31061219
CRC.SW.U0336.T,24876377
CRC.SW.U0338.T,28297680
CRC.SW.U0339.T,25849149
CRC.SW.U0340.T,35108086
CRC.SW.U0341.T,21743341
CRC.SW.U0342.T,29636726
CRC.SW.U0343.T,34547462
CRC.SW.U0344.T,26587201
CRC.SW.U0345.T,31362160
CRC.SW.U0347.T,25861141
CRC.SW.U0348.T,21921777
CRC.SW.U0349.T,26815323
CRC.SW.U0350.T,23142523
CRC.SW.U0351.T,27917734
CRC.SW.U0352.T,22812052
CRC.SW.U0353.T,27227062
CRC.SW.U0354.T,26779129
CRC.SW.U0355.T,20749817
CRC.SW.U0356.T,27084329
CRC.SW.U0357.T,32066189
CRC.SW.U0358.T,28230501
CRC.SW.U0359.T,26291004
CRC.SW.U0360.T,28790500
CRC.SW.U0361.T,32431593
CRC.SW.U0362.T,24679136
CRC.SW.U0363.T,36392877
CRC.SW.U0364.T,28763336
CRC.SW.U0366.T,29500967
CRC.SW.U0367.T,29777216
CRC.SW.U0368.T,33462287
CRC.SW.U0369.T,25841916
CRC.SW.U0370.N,21141061
CRC.SW.U0370.T,28607265
CRC.SW.U0371.T,30034561
CRC.SW.U0373.T,26714442
CRC.SW.U0375.N,24120724
CRC.SW.U0375.T,25117613
CRC.SW.U0376.T,28445878
CRC.SW.U0377.N,24643684
CRC.SW.U0377.T,23627377
CRC.SW.U0378.T,29293773
CRC.SW.U0379.T,30196938
CRC.SW.U0380.T,33605225
CRC.SW.U0381.T,27190845
CRC.SW.U0382.T,29040756
CRC.SW.U0383.T,30017145
CRC.SW.U0384.T,24773000
CRC.SW.U0385.T,24913905
CRC.SW.U0386.T,31525952
CRC.SW.U0387.T,36032958
CRC.SW.U0388.T,30153982
CRC.SW.U0389.T,27863971
CRC.SW.U0390.T,28408812
CRC.SW.U0391.T,33564359
CRC.SW.U0392.T,27183150
CRC.SW.U0394.T,39440031
CRC.SW.U0396.T,31485156
CRC.SW.U0397.T,31716376
CRC.SW.U0398.T,26115406
CRC.SW.U0399.T,41226183
CRC.SW.U0400.T,24431249
CRC.SW.U0401.T,24770039
CRC.SW.U0402.T,26038250
CRC.SW.U0403.T,30777469
CRC.SW.U0404.T,34964130
CRC.SW.U0405.N,29043511
CRC.SW.U0405.T,29482420
CRC.SW.U0406.T,31406771
CRC.SW.U0407.T,25763418
CRC.SW.U0408.T,42456927
CRC.SW.U0409.T,25850244
CRC.SW.U0411.T,29776210
CRC.SW.U0413.T,39279195
CRC.SW.U0414.T,36937318
CRC.SW.U0415.T,24934259
CRC.SW.U0416.T,28590625
CRC.SW.U0418.T,33879052
CRC.SW.U0420.T,33301562
CRC.SW.U0421.N,24933251
CRC.SW.U0421.T,30144719
CRC.SW.U0422.T,33227547
CRC.SW.U0423.T,28774280
CRC.SW.U0424.T,24402777
CRC.SW.U0425.N,24255007
CRC.SW.U0425.T,28409580
CRC.SW.U0426.T,28058515
CRC.SW.U0427.T,30492562
CRC.SW.U0428.T,30343717
CRC.SW.U0429.T,28197520
CRC.SW.U0430.T,30059337
CRC.SW.U0433.T,25041539
CRC.SW.U0434.T,29595538
CRC.SW.U0435.T,30591440
CRC.SW.U0436.T,27480185
CRC.SW.U0438.T,27764203
CRC.SW.U0439.T,26763968
CRC.SW.U0440.T,28655701
CRC.SW.U0441.T,26489799
CRC.SW.U0442.N,25678404
CRC.SW.U0442.T,26780697
CRC.SW.U0443.T,27832291
CRC.SW.U0444.T,29741747
CRC.SW.U0445.T,27912594
CRC.SW.U0446.N,24330803
CRC.SW.U0446.T,29515246
CRC.SW.U0447.T,29963552
CRC.SW.U0449.T,31045732
CRC.SW.U0450.T,26215924
CRC.SW.U0451.T,24900140
CRC.SW.U0452.T,23104119
CRC.SW.U0453.T,30878719
CRC.SW.U0454.T,25976992
CRC.SW.U0456.T,30907166
CRC.SW.U0457.T,28947380
CRC.SW.U0458.T,28480897
CRC.SW.U0459.T,32195624
CRC.SW.U0460.N,22048201
CRC.SW.U0460.T,30609326
CRC.SW.U0462.T,26593662
CRC.SW.U0463.T,28615391
CRC.SW.U0464.T,34085362
CRC.SW.U0465.T,27712303
CRC.SW.U0466.N,23861244
CRC.SW.U0466.T,27808946
CRC.SW.U0467.T,30891683
CRC.SW.U0468.T,30623003
CRC.SW.U0469.T,27029364
CRC.SW.U0470.T,29263159
CRC.SW.U0471.N,24157782
CRC.SW.U0471.T,29788695
CRC.SW.U0472.T,23877157
CRC.SW.U0473.T,37242217
CRC.SW.U0474.T,30440303
CRC.SW.U0478.T,22965172
CRC.SW.U0484.T,27643675
CRC.SW.U0485.T,21948808
CRC.SW.U0492.N,24657657
CRC.SW.U0492.T,27522436
CRC.SW.U0494.T,22693786
CRC.SW.U0497.T,27606613
CRC.SW.U0498.T,26940195
CRC.SW.U0502.T,30067415
CRC.SW.U0508.N,29783141
CRC.SW.U0508.T,29155262
CRC.SW.U0512.T,28920066
CRC.SW.U0514.T,27335720
CRC.SW.U0519.T,31993971
CRC.SW.U0522.T,33791447
CRC.SW.U0532.T,34770966
CRC.SW.U0533.T,26565001
CRC.SW.U0534.T,26242431
CRC.SW.U0535.T,29228651
CRC.SW.U0538.T,29319539
CRC.SW.U0539.T,27725060
CRC.SW.U0542.T,24060062
CRC.SW.U0543.T2,19710022
CRC.SW.U0545.T,31209457
CRC.SW.U0552.T,24632375
CRC.SW.U0553.T,26430194
CRC.SW.U0555.T,29389121
CRC.SW.U0556.T,29113022
CRC.SW.U0557.T,26401424
CRC.SW.U0558.T,31357863
CRC.SW.U0561.T,25031672
CRC.SW.U0562.T,27039853
CRC.SW.U0565.T,29771898
CRC.SW.U0568.T,24651664
CRC.SW.U0572.T,29232586
CRC.SW.U0576.T,27115883
CRC.SW.U0577.T,25079151
CRC.SW.U0578.T,29445589
CRC.SW.U0579.T,29514606
CRC.SW.U0581.T,27559784
CRC.SW.U0584.T,25963732
CRC.SW.U0587.T,24285975
CRC.SW.U0589.T,29334500
CRC.SW.U0590.T,22997106
CRC.SW.U0591.T,29199630
CRC.SW.U0592.T,29182575
