Column,Coverage
PM-PM-1033-T-A1,52535183.43
PM-PM-1099-T-A1,49238180.150000006
PM-PB-1113-T-A1,83800320.80999999
PM-PB-1117-T-A1,92385845.32000001
PM-PB-1124-T-A1,86363181.67
PM-PM-1100-T-A1,49218947.75
PM-PB-1029-T-A1,54516793.95
PM-PB-1109-T-A1,63781691.72
PM-PM-1044-T-A1,56544512.71000001
PM-PB-1048-T-A1,53144432.27
PM-PB-1033-T-A1,74871618.69
PM-PB-1049-T-A1,44575180.29
PM-PM-1074-T-A1,48812115.84
PM-PB-1098-T-A1,61449889.42999999
PM-PB-1105-T-A1,51376188.79
PM-PB-1112-T-A1,71618769.89999999
PM-PB-1141-T-A1,49890360.25
PM-PB-1087-T-A1,107455452.28999999
PM-PM-1041-T-A1,60985868.49999999
PM-PB-1083-T-A1,57025422.08
PM-PB-1078-T-A1,64507727.53
PM-PB-1013-T-A1,65849617.75999999
PM-PB-1011-T-A1,71993577.54999998
PM-PM-1013-T-A1,51688029.25000001
PM-PM-1134-T-A1,49250506.64
PM-PB-1027-T-A1,67996572.60999998
PM-PB-1060-T-A1,107113084.22
PM-PB-1069-T-A1,94232996.49000001
PM-PB-1034-T-A1,49839270.22
PM-PM-1105-T-A1,46212665.85
PM-PB-1101-T-A1,53128170.72
PM-PB-1043-T-A1,70175125.33
PM-PB-1088-T-A1,96028991.39000002
PM-PM-1110-T-A1,51014292.99
PM-PB-1036-T-A1,56890247.33999999
PM-PM-1058-T-A1,55968630.94
PM-PM-1078-T-A1,69653267.53
PM-PM-1030-T-A1,53273448.160000004
PM-PB-1116-T-A1,66264210.150000006
PM-PB-1103-T-A1,68751970.14
PM-PB-1010-T-A1,53022287.489999995
PM-PM-1007-T-A1,43499235.41
PM-PB-1050-T-A1,67088897.480000004
PM-PB-1092-T-A1,102179655.08999997
PM-PB-1047-T-A1,75637082.25
PM-PM-1085-T-A1,51221421.79
PM-PB-1157-T-A1,64180746.36
PM-PB-1064-T-A1,125402277.62999998
PM-PB-1023-T-A1,87378964.61999999
PM-PB-1140-T-A1,85601991.96999998
PM-PM-1072-T-A1,73916938.59
PM-PB-1148-T-A1,70401646.89000002
PM-PM-1141-T-A1,55876161.480000004
PM-PB-1150-T-A1,82517681.39000002
PM-PM-1096-T-A1,50984321.83
PM-PM-1027-T-A1,54664888.6
PM-PM-1162-T-A1,57371250.52000001
PM-PB-1015-T-A1,57179754.30000001
PM-PB-1121-T-A1,97469673.59
PM-PB-1035-T-A1,58662261.10000001
PM-PM-1083-T-A1,52691913.92
PM-PM-1095-T-A1,49218888.31
PM-PM-1064-T-A1,63987443.050000004
PM-PM-1109-T-A1,51512866.57
PM-PB-1151-T-A1,76568368.69999999
PM-PB-1046-T-A1,62202759.49
PM-PB-1014-T-A1,47629895.33
PM-PB-1032-T-A1,41718444.56000001
PM-PM-1129-T-A1,54047091.11
PM-PM-1124-T-A1,45945393.43
PM-PM-1026-T-A1,49433643.39000001
PM-PB-1075-T-A1,78621359.26999998
PM-PB-1016-T-A1,64500413.559999995
PM-PB-1054-T-A1,74517187.89999999
PM-PB-1070-T-A1,76144241.82000001
PM-PB-1074-T-A1,68559968.57
PM-PB-1030-T-A1,65652826.379999995
PM-PB-1028-T-A1,63138540.14
PM-PM-1126-T-A1,47834265.25
PM-PM-1070-T-A1,99532053.53
PM-PB-1068-T-A1,111538719.75
PM-PB-1107-T-A1,81258973.36999999
PM-PM-1113-T-A1,42928779.739999995
PM-PB-1082-T-A1,88220174.29
PM-PB-1077-T-A1,74143426.66
PM-PB-1093-T-A1,63002753.50000001
PM-PM-1107-T-A1,48644400.150000006
PM-PM-1023-T-A1,52666767.15
PM-PM-1087-T-A1,52098099.85
PM-PB-1071-T-A1,112114269.21999998
PM-PB-1102-T-A1,55058403.60000001
PM-PB-1040-T-A1,52556099.31000001
PM-PB-1031-T-A1,58007444.11
PM-PM-1102-T-A1,47467335.86
PM-PM-1032-T-A1,53387533.15
PM-PB-1159-T-A1,49882038.110000014
PM-PB-1153-T-A1,68377261.74
PM-PB-1085-T-A1,74308482.88
PM-PB-1152-T-A1,65016798.31999999
PM-PM-1048-T-A1,50981607.9
PM-PM-1022-T-A1,50652152.48000001
PM-PM-1006-T-A1,52835860.050000004
PM-PM-1073-T-A1,88652741.35000001
PM-PB-1065-T-A1,108729018.18
PM-PM-1094-T-A1,41339485.29000001
PM-PB-1052-T-A1,61889668.79000001
PM-PB-1044-T-A1,55453993.72
PM-PB-1059-T-A1,80064896.76
PM-PB-1024-T-A1,66051365.78
PM-PB-1154-T-A1,61072375.39
PM-PM-1079-T-A1,56835515.44
PM-PM-1035-T-A1,56546341.22
PM-PM-1024-T-A1,40148643.20000001
PM-PB-1132-T-A1,71954144.19
